Rank,Name,Year,Position,Binary_SP,WAR_z,경기_z,경기(선발)_z,경기(구원)_z,경기(마무리)_z,완투_z,완봉_z,승_z,패_z,세이브_z,홀드_z,이닝_z,자책점_z,실점_z,rRA_z,상대 타자 수_z,피안타_z,피홈런_z,4구_z,몸에 맞는 공_z,고의사구_z,삼진_z,보크_z,폭투_z,ERA_z,RA9_z,rRA9_z,rRA9pf_z,FIP_z,WHIP_z
3300,김정인,2017,P,0,-0.577015319,-1.120111088,-0.66622801,-0.558223921,0.15999339,-0.319489069,-0.204777587,-0.960319678,-1.209697849,-0.341023127,-0.621253819,-1.129090744,-1.237163122,-1.219262355,-1.35879077,-1.151965122,-1.09890388,-1.415435787,-1.354538655,-0.878769438,-0.644481726,-1.018840028,-0.474679373,-0.875512075,0.228503321,0.323691673,-0.442625113,-0.551639669,-1.902134365,0.379359837
3301,윤길현,2016,P,0,-0.580016576,1.662007171,-0.74010039,1.663838937,0.740818698,-0.243499935,-0.194012283,0.838303417,1.01147871,0.059272505,2.73999407,-0.105991715,0.1218415,0.055164629,0.177169646,-0.085872003,0.024273012,0.093944926,-0.277749258,-0.562117238,1.045778742,0.004247242,1.130201577,-0.164589692,0.343049345,0.198099051,0.45589809,0.330093914,-0.41621681,0.009862223
3302,이승민,2020,P,1,-0.533843829,-1.51527425,-0.192435266,-1.066378894,-0.536393747,-0.225902401,-0.157727768,-0.619565179,-0.113985993,-0.298650186,-0.602979306,-0.742987016,-0.526198333,-0.564775918,-0.636679628,-0.710391556,-0.617689447,-0.301671923,-0.345978472,-1.04555128,0.207885653,-0.80804036,-0.41483197,-1.022289649,0.810132976,0.721449209,0.631464519,0.492610471,1.330189077,1.498512033
3303,송창식,2018,P,0,-0.600235042,-1.148363663,-0.709289656,-0.554574975,-0.230925507,-0.227179608,-0.146653406,-0.733099228,-1.112242283,-0.314671259,-0.394751493,-1.091455068,-1.144374125,-1.175768893,-1.193949623,-1.109192392,-1.072440792,-1.002064578,-1.230055085,-0.812611581,-0.714872823,-1.096045773,-0.412907639,-0.127898263,-0.274566908,-0.506013613,-0.404829525,-0.380668894,0.50058563,-0.14455201
3304,정성종,2018,P,0,-0.600235042,-1.264087861,-0.709289656,-0.644738133,-0.230925507,-0.227179608,-0.146653406,-1.000065999,-0.812792437,-0.314671259,-0.599718615,-0.953274695,-0.918408557,-0.96559835,-0.973940057,-0.982050974,-0.999986347,-1.002064578,-0.977975485,-0.812611581,-0.714872823,-1.003721472,-0.412907639,-0.433882715,0.382378233,0.13202822,0.330065991,0.107801694,0.13048001,-0.44313485
3305,김성민,2018,P,0,-0.600235042,0.818947694,-0.615281419,0.93311712,0.090781526,-0.227179608,-0.146653406,-0.466132457,-0.812792437,-0.314671259,0.425116993,-0.363976047,-0.165189996,-0.089887754,-0.203906574,-0.318090237,-0.239214675,-0.427283985,-0.158716785,-0.323491871,0.893591029,-0.242045986,-0.412907639,0.178086189,0.398939875,0.652112738,0.365914552,0.513879654,-0.434418042,0.639227945
3306,김윤수,2019,P,0,-0.61930904,-1.482396835,-0.547906667,-0.921544578,-0.662016592,-0.319806661,-0.243367873,-0.699765521,-0.811473227,-0.318838974,-0.556086332,-1.128620885,-1.164910545,-1.176106249,-1.240885214,-1.141677085,-1.168725728,-0.747829236,-0.897554953,-1.063097043,-0.628592366,-1.073963113,-0.403881284,-1.022116484,0.051948242,-0.171945002,-0.094796633,-0.405698789,1.875192339,0.801638606
3307,진해수,2016,P,0,-0.592284621,2.385728368,-0.74010039,2.244995107,0.10677476,-0.243499935,-0.194012283,-0.935995468,0.103983793,-0.127290134,2.951525579,-0.233301125,-0.372388811,-0.392368138,-0.135986368,-0.188826483,-0.320943157,-0.426365435,0.565156815,-0.562117238,2.684876851,0.112976639,-0.43094017,-0.836956094,-0.508355853,-0.549828995,0.100970718,0.379372196,-0.388144107,0.430650402
3308,김동호,2017,P,0,-0.588253672,-0.70850984,-0.66622801,-0.23772943,0.371766458,-0.319489069,-0.204777587,-0.960319678,-0.895176408,-0.341023127,-0.621253819,-0.665601378,-0.457600439,-0.546820693,-0.570947295,-0.611487075,-0.474788825,-1.245844402,-0.204128938,0.203341778,-0.644481726,-0.94449997,-0.474679373,-0.245697065,0.646930753,0.402195058,0.417053027,0.28374809,0.390504406,1.541149339
3309,박윤철,2019,P,0,-0.625124,-0.941678037,-0.453046761,-0.53826581,-0.348158985,-0.319806661,-0.243367873,-0.941839416,-0.811473227,-0.318838974,-0.556086332,-0.755117168,-0.649873223,-0.632497007,-0.668113401,-0.711728001,-0.932918883,-0.301327604,0.312854453,-0.195875235,-0.628592366,-0.769885883,-0.403881284,-0.360002089,0.306104575,0.374179098,0.327230163,0.369858086,2.293234303,0.867868793
3310,김승현,2017,P,0,-0.593872848,0.526293903,-0.763386261,0.769538969,0.15999339,-0.319489069,-0.204777587,-0.960319678,-0.266133527,-0.341023127,-0.621253819,-0.519236315,-0.414291401,-0.388599125,-0.322154619,-0.434516387,-0.493701403,-0.228296095,0.675596139,0.203341778,-0.644481726,-0.424119563,-0.474679373,1.328840462,0.146858944,0.225562441,0.40223099,0.228055573,1.286194822,1.275597453
