Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,출장 경기_z,타석_z,유효타석_z,타수_z,득점_z,안타_z,2루타_z,3루타_z,홈런_z,루타_z,타점_z,도루_z,도루실패_z,볼넷_z,사구_z,고의사구_z,삼진_z,병살타_z,희생번트_z,희생플라이_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z,WAR2_z
4380,박노준,1996,LF,0.270275343,0.339833453,-0.231456466,-1.006353864,-0.715599458,-0.716614626,-0.681006842,-0.657137321,-0.260977162,-0.445814284,-0.228915803,-0.146678578,-0.276309015,-0.338797131,-0.564258973,-0.886199913,-0.769261099,-0.463687714,-0.178172221,-0.952211099,-0.801361295,-0.383787984,-0.919086333,2.332768022,1.619762291,1.781615521,1.800575806,1.61902416,1.857127673,0.270275343
4383,조경택,1996,C,0.222720567,-0.040073247,0.858841691,1.199221593,0.794639018,0.727965135,0.722145126,-0.225373251,0.657398168,0.434058532,0.907487646,-0.495196909,0.385879832,0.539282577,-0.564258973,0.363108281,0.10450636,2.379809004,-0.178172221,0.680279846,0.962056436,2.539309537,0.527174048,0.380507559,0.421842505,-0.172334046,0.052516309,0.054534704,0.015144772,0.222720567
4384,이동수,1996,3B,0.217436703,0.446849425,-0.733339745,0.298352744,0.088132606,0.122173622,0.088463592,-0.177399466,0.147189651,0.308362415,0.339285922,0.550358084,0.305125094,0.493067855,-0.564258973,-0.386476636,0.213727292,0.484144525,-0.178172221,1.475595946,0.374250525,-0.749175174,0.045087254,0.560025762,0.752303135,1.039609357,0.975103266,0.799529683,0.907854776,0.217436703
4388,최훈재,1996,1B,0.175165792,0.27562387,-0.335294386,0.733254947,0.379809565,0.361827408,0.29969077,0.39828596,0.0961688,0.559754648,-0.228915803,0.550358084,0.272823199,0.446853134,-0.671114555,-0.886199913,0.814442419,-0.226729654,0.131402013,-0.19875374,-0.50745834,0.712373587,0.527174048,-0.247806153,0.297919768,0.384170578,0.368138163,0.389782445,0.401247997,0.175165792
4391,정영규,1996,RF,0.164598064,0.404043036,-0.785258704,0.981770491,0.580742581,0.581510044,0.510917948,0.494233532,0.351273058,0.308362415,0.907487646,0.376098918,0.418181727,0.123350084,-0.243692227,0.113246642,1.08749475,0.247186465,0.440976246,1.224443494,0.374250525,0.164292801,0.045087254,0.021471152,0.649034188,0.309969961,0.457159711,0.501531692,0.52912932,0.164598064
4393,김태균,1996,SS,0.138178744,-0.152440017,0.92806697,0.671126061,-0.028538177,-0.037595568,-0.092588275,-0.225373251,-0.235466736,-0.697206517,-0.797117527,0.201839753,-0.227856173,-0.292582409,-0.243692227,-0.636338274,0.37755869,-0.463687714,-0.178172221,0.680279846,-0.50745834,0.346986396,0.527174048,-0.337565255,0.132689453,-0.246534662,-0.109341052,0.054534704,0.017604028,0.138178744
4398,마해영,1996,1B,0.101191696,1.083594457,-3.173530857,1.106028264,1.319657544,1.373698946,1.499159389,0.973971387,1.524752647,1.94241193,0.907487646,1.247394746,1.613351841,1.694650613,-0.243692227,-0.386476636,0.37755869,-0.226729654,-0.178172221,1.726748399,1.843765301,-0.383787984,0.527174048,0.784423517,0.215304611,1.027242587,0.756595829,0.669155562,0.735706841,0.101191696
4402,박재용,1996,RF,0.058920785,-0.007968455,0.235814173,0.950706048,0.658523104,0.688022838,0.722145126,0.302338389,0.555356465,0.182666299,0.907487646,-0.146678578,0.385879832,0.446853134,-0.457403391,-0.886199913,0.159116826,0.958060645,-0.178172221,0.889573556,-0.50745834,-0.201094389,0.045087254,0.111230254,0.029420506,-0.172334046,-0.101248184,-0.019964793,-0.078306964,0.058920785
4408,윤덕규,1996,RF,-0.004485582,-0.018670053,0.045444653,0.888577162,0.567779161,0.574852995,0.729688954,0.446259746,0.733929446,0.434058532,0.907487646,0.027580587,0.579691201,-0.200152966,-0.350547809,-0.636338274,-0.550819234,0.010228405,0.131402013,0.261692424,0.962056436,0.164292801,0.045087254,0.582465538,-0.280386335,0.272869653,0.068702045,0.017284955,-0.024203327,-0.004485582
4409,김대익,1996,CF,-0.004485582,0.38799064,-1.269835663,-0.012291686,-0.002611336,0.022317878,0.058288281,0.494233532,0.223720929,0.559754648,0.339285922,0.201839753,0.288974147,0.030920641,0.718008012,0.113246642,-0.277766903,-0.700645774,-0.487746454,-0.073177513,-0.801361295,-0.383787984,1.009260841,0.941501945,0.339227347,1.076709665,0.837524509,0.74365506,0.843914115,-0.004485582
4412,김민재,1996,SS,-0.020337174,-0.211298802,0.616553211,0.950706048,0.554815741,0.514939548,0.548637087,0.206390818,0.376783484,0.056970182,0.907487646,-0.146678578,0.256672252,0.169564805,-0.029981063,0.61296992,0.213727292,0.010228405,0.131402013,0.052398713,-0.50745834,1.443147967,0.527174048,0.021471152,-0.094502231,-0.172334046,-0.149805392,-0.038589668,-0.097981014,-0.020337174
4415,김호,1996,SS,-0.046756494,-0.205948003,0.512715292,1.292414922,1.19002334,1.14735926,1.204950105,0.638154888,0.886992001,0.434058532,2.612092819,-0.669456075,0.579691201,0.539282577,1.67970825,1.862278113,0.541390089,0.010228405,-0.487746454,1.35001972,1.255959391,2.356615942,0.527174048,-0.045848174,-0.239078757,-0.469136512,-0.400684301,-0.168963789,-0.247995642,-0.046756494
4429,김재걸,1996,2B,-0.136582181,-0.259455989,0.391571052,0.950706048,0.639077973,0.688022838,0.684425987,0.110443247,0.376783484,0.182666299,0.339285922,-0.495196909,0.143615619,0.030920641,3.603108726,1.862278113,0.486779623,0.010228405,-0.487746454,1.517454689,0.374250525,-0.566481579,1.009260841,-0.292685704,-0.239078757,-0.679371592,-0.538263058,-0.262088162,-0.368499197,-0.136582181
4430,신동주,1996,RF,-0.136582181,-0.200597205,0.201201533,-0.291871674,-0.404477369,-0.383762147,-0.41697287,0.110443247,-0.465060569,-0.194422051,-0.797117527,0.724617249,-0.163252383,-0.246367688,-0.029981063,0.363108281,-0.386987836,1.431976765,-0.178172221,-0.115036255,-1.09526425,-0.749175174,-0.919086333,-0.247806153,0.318573558,1.051976126,0.813245905,0.37115757,0.381573947,-0.136582181
4433,김정민,1996,C,-0.136582181,-0.318314774,0.581940572,-1.845093826,-1.240617985,-1.249178594,-1.261881582,-0.849032463,-0.975269086,-1.074294866,-0.797117527,-0.669456075,-0.986950705,-0.939588509,-0.564258973,-0.886199913,-0.987702963,-0.463687714,-0.487746454,-1.412657262,-1.09526425,-0.383787984,-0.919086333,1.839092962,1.578454712,0.631505966,1.031753342,1.0789028,1.200506265,-0.136582181
4434,석수철,1996,3B,-0.163001501,0.018785537,-0.594889185,0.919641605,0.477035218,0.421740854,0.450567326,0.158417033,0.478825187,0.685450765,-0.228915803,-0.320937744,0.288974147,0.215779527,-0.243692227,-0.386476636,-0.332377369,0.958060645,-0.487746454,0.219833682,0.668153481,2.173922347,1.973434429,0.560025762,0.091381874,0.099734881,0.101073517,0.091784453,0.069248409,-0.163001501
4436,이호성,1996,RF,-0.173569228,0.206063488,-1.235223023,0.640061618,0.878901251,0.881077276,0.963547616,0.446259746,0.861481575,-0.068725934,-0.797117527,0.724617249,0.692747834,1.648435892,1.038574758,0.363108281,0.268337758,-0.700645774,-0.178172221,1.098867267,1.843765301,0.712373587,1.009260841,0.380507559,-0.094502231,0.112101651,0.036330573,0.129034202,0.096300227,-0.173569228
4442,이강돈,1996,LF,-0.21584014,0.040188732,-0.837177664,0.36048163,0.029797215,0.028974928,-0.002062341,-0.12942568,-0.082404181,-0.068725934,-0.797117527,0.201839753,-0.05019575,0.354423691,-0.350547809,-0.386476636,0.432169157,-0.700645774,0.131402013,0.596562361,0.374250525,-0.018400794,0.045087254,-0.023408399,0.339227347,0.12446842,0.21437367,0.333907821,0.334848079,-0.21584014
4444,이종두,1996,RF,-0.231691732,-0.254105191,0.045444653,-1.037418307,-0.696154328,-0.676672329,-0.748901293,-0.369294608,-0.618123124,-0.94859875,-0.797117527,-0.495196909,-0.69623365,-0.523656016,0.290585683,0.113246642,-0.168545971,-0.463687714,-0.178172221,-0.742917388,-1.09526425,-0.931868769,1.009260841,0.470266661,0.917533451,-0.258901432,0.190095066,0.389782445,0.406166509,-0.231691732
4446,공필성,1996,3B,-0.24225946,-0.077528837,-0.542970225,0.919641605,0.52240719,0.528253647,0.526005604,0.39828596,0.427804336,0.936842998,-0.228915803,-0.146678578,0.337426989,0.30820897,0.183730101,-0.136614997,-0.277766903,2.142850944,-0.487746454,1.140726009,0.08034757,0.529679992,1.973434429,0.223429131,0.008766716,0.075001343,0.052516309,-0.001339919,-0.066010683,-0.24225946
4448,김민호,1996,SS,-0.247543324,-0.569802307,1.03190489,-2.155738256,-1.298953376,-1.289120891,-1.284513066,-0.99295382,-1.07731079,-0.697206517,-0.797117527,-0.84371524,-1.051554495,-0.985803231,-0.457403391,-0.636338274,-1.096923895,-0.937603834,-0.487746454,-1.328939778,-1.09526425,-0.931868769,-0.43699954,0.67222464,-0.259732546,0.050267804,-0.068876711,0.110409328,0.079085434,-0.247543324
4451,김형석,1996,1B,-0.273962643,0.441498626,-2.32552118,1.106028264,1.371511226,1.393670094,1.544422355,0.83005003,1.218627537,0.685450765,1.47568937,1.595913077,1.387238576,0.95521507,-0.457403391,-0.886199913,0.759831953,-0.937603834,1.369698947,1.559313431,2.725474166,-0.383787984,-0.43699954,0.066350703,-0.239078757,0.54493858,0.262930878,0.166283951,0.140566839,-0.273962643
4455,강종필,1996,OF,-0.300381963,-0.339717968,0.114669933,-0.291871674,-0.955422736,-0.956268412,-0.952584643,-0.12942568,-0.796696105,-0.822902633,-0.797117527,-0.320937744,-0.744686492,-0.800944345,-0.243692227,-0.636338274,-0.823871565,-0.463687714,-0.487746454,-0.533623677,-1.09526425,-0.383787984,-0.919086333,0.470266661,0.256612189,0.446004425,0.392416767,0.37115757,0.396329485,-0.300381963
4457,박재벌,1996,LF,-0.321517419,-0.377173558,0.166588893,0.981770491,0.302029043,0.335199209,0.329866081,0.158417033,0.249231355,0.434058532,0.339285922,-0.669456075,0.046709934,-0.292582409,-0.029981063,0.862831558,-0.386987836,3.090683184,-0.487746454,-0.575482419,-0.50745834,-0.383787984,-0.43699954,0.17854958,0.297919768,-0.320735279,-0.093155316,-0.113089166,-0.196351262,-0.321517419
4462,김태형,1996,C,-0.326801283,-0.494891127,0.530021612,0.018772757,-0.002611336,-0.00431032,0.186533353,-0.225373251,0.274741781,-0.068725934,-0.797117527,-0.669456075,-0.066346698,-0.338797131,-0.457403391,-0.886199913,-1.151534362,-0.937603834,-0.487746454,-1.119646067,0.668153481,0.346986396,-0.919086333,0.694664415,-0.776077281,-0.357835587,-0.538263058,-0.392462283,-0.523432338,-0.326801283
