Rank,Name,Year,Position,WAR_z,oWAR_z,dWAR_z,득점_z,안타_z,홈런_z,타점_z,도루_z,볼넷_z,삼진_z,타율_z,출루율_z,장타율_z,OPS_z,R/ePA_z,wRC+_z
4415,김호,1996,SS,-0.046756494,-0.205948003,0.512715292,0.638154888,0.886992001,-0.669456075,0.539282577,1.67970825,0.541390089,1.35001972,-0.045848174,-0.239078757,-0.469136512,-0.400684301,-0.168963789,-0.247995642
4429,김재걸,1996,2B,-0.136582181,-0.259455989,0.391571052,0.110443247,0.376783484,-0.495196909,0.030920641,3.603108726,0.486779623,1.517454689,-0.292685704,-0.239078757,-0.679371592,-0.538263058,-0.262088162,-0.368499197
4430,신동주,1996,RF,-0.136582181,-0.200597205,0.201201533,0.110443247,-0.465060569,0.724617249,-0.246367688,-0.029981063,-0.386987836,-0.115036255,-0.247806153,0.318573558,1.051976126,0.813245905,0.37115757,0.381573947
4433,김정민,1996,C,-0.136582181,-0.318314774,0.581940572,-0.849032463,-0.975269086,-0.669456075,-0.939588509,-0.564258973,-0.987702963,-1.412657262,1.839092962,1.578454712,0.631505966,1.031753342,1.0789028,1.200506265
4434,석수철,1996,3B,-0.163001501,0.018785537,-0.594889185,0.158417033,0.478825187,-0.320937744,0.215779527,-0.243692227,-0.332377369,0.219833682,0.560025762,0.091381874,0.099734881,0.101073517,0.091784453,0.069248409
4436,이호성,1996,RF,-0.173569228,0.206063488,-1.235223023,0.446259746,0.861481575,0.724617249,1.648435892,1.038574758,0.268337758,1.098867267,0.380507559,-0.094502231,0.112101651,0.036330573,0.129034202,0.096300227
4442,이강돈,1996,LF,-0.21584014,0.040188732,-0.837177664,-0.12942568,-0.082404181,0.201839753,0.354423691,-0.350547809,0.432169157,0.596562361,-0.023408399,0.339227347,0.12446842,0.21437367,0.333907821,0.334848079
4444,이종두,1996,RF,-0.231691732,-0.254105191,0.045444653,-0.369294608,-0.618123124,-0.495196909,-0.523656016,0.290585683,-0.168545971,-0.742917388,0.470266661,0.917533451,-0.258901432,0.190095066,0.389782445,0.406166509
4446,공필성,1996,3B,-0.24225946,-0.077528837,-0.542970225,0.39828596,0.427804336,-0.146678578,0.30820897,0.183730101,-0.277766903,1.140726009,0.223429131,0.008766716,0.075001343,0.052516309,-0.001339919,-0.066010683
4448,김민호,1996,SS,-0.247543324,-0.569802307,1.03190489,-0.99295382,-1.07731079,-0.84371524,-0.985803231,-0.457403391,-1.096923895,-1.328939778,0.67222464,-0.259732546,0.050267804,-0.068876711,0.110409328,0.079085434
4451,김형석,1996,1B,-0.273962643,0.441498626,-2.32552118,0.83005003,1.218627537,1.595913077,0.95521507,-0.457403391,0.759831953,1.559313431,0.066350703,-0.239078757,0.54493858,0.262930878,0.166283951,0.140566839
4455,강종필,1996,OF,-0.300381963,-0.339717968,0.114669933,-0.12942568,-0.796696105,-0.320937744,-0.800944345,-0.243692227,-0.823871565,-0.533623677,0.470266661,0.256612189,0.446004425,0.392416767,0.37115757,0.396329485
4457,박재벌,1996,LF,-0.321517419,-0.377173558,0.166588893,0.158417033,0.249231355,-0.669456075,-0.292582409,-0.029981063,-0.386987836,-0.575482419,0.17854958,0.297919768,-0.320735279,-0.093155316,-0.113089166,-0.196351262
4462,김태형,1996,C,-0.326801283,-0.494891127,0.530021612,-0.225373251,0.274741781,-0.669456075,-0.338797131,-0.457403391,-1.151534362,-1.119646067,0.694664415,-0.776077281,-0.357835587,-0.538263058,-0.392462283,-0.523432338
4464,정회열,1996,C,-0.342652874,-0.575153106,0.755003771,-0.801058678,-1.000779512,-0.320937744,-0.754729624,-0.671114555,-0.386987836,-0.659199903,-1.280035823,-0.177117388,-0.50623682,-0.400684301,-0.243463287,-0.331610353
4465,이순철,1996,CF,-0.347936738,-0.114984427,-0.767952384,0.973971387,0.478825187,0.027580587,0.63171202,2.107130578,0.978273818,1.726748399,-0.494643683,-0.218424967,-0.50623682,-0.416870037,-0.187588664,-0.265210436
4467,임수민,1996,2B,-0.36378833,-0.366471961,-0.006474307,0.206390818,0.300252206,-0.146678578,0.816570906,-0.457403391,0.432169157,1.643030915,-0.561963009,-0.48692423,-0.197067585,-0.319755621,-0.224838413,-0.324232585
4468,허문회,1996,1B,-0.36378833,-0.334367169,-0.110312226,-1.088901391,-0.924248234,-0.320937744,-0.847159067,-0.671114555,-0.933092497,-0.952211099,0.694664415,0.318573558,1.299311514,0.975103266,0.855404307,0.9570399
